env_id,H,W,density,planner,method,perturbation,kmax,kendall_tau,jaccard_topk,cose_jaccard,calls_base,time_base,calls_pert,time_pert
2,20,20,0.3,a_star,rand,erode,5,0.42857142857142855,1.0,,0,0.0002193730033468455,0,0.00015211500431178138
2,20,20,0.3,a_star,geodesic,erode,5,0.23809523809523808,0.42857142857142855,,0,0.00034096800663974136,0,0.00028837600257247686
2,20,20,0.3,a_star,cose,erode,,,,0.0,3,0.008145508996676654,1,0.0007085450051818043
2,20,20,0.3,a_star,shap,distractors,5,1.0,1.0,,800,0.5956904539998504,450,0.29986623900185805
2,20,20,0.3,a_star,lime,distractors,5,0.42857142857142855,0.6666666666666666,,500,0.32616467800107785,250,0.17371896500117145
2,20,20,0.3,a_star,rand,distractors,5,-0.23809523809523808,0.42857142857142855,,0,0.0002193730033468455,0,0.00019080799393123016
2,20,20,0.3,a_star,geodesic,distractors,5,0.6190476190476191,0.6666666666666666,,0,0.00034096800663974136,0,0.0002940339982160367
2,20,20,0.3,a_star,cose,distractors,,,,1.0,3,0.008145508996676654,3,0.00805625099746976
3,20,20,0.3,a_star,shap,jitter,5,1.0,1.0,,700,0.4733602440028335,300,0.4539207580019138
3,20,20,0.3,a_star,lime,jitter,5,0.2,0.6666666666666666,,500,0.26197713400324574,250,0.4347895540049649
3,20,20,0.3,a_star,rand,jitter,5,0.2,0.6666666666666666,,0,0.00015204500232357532,0,0.0001658749970374629
3,20,20,0.3,a_star,geodesic,jitter,5,0.6,1.0,,0,0.00028432599356165156,0,0.00029075200291117653
3,20,20,0.3,a_star,cose,jitter,,,,0.0,3,0.005419094995886553,1,0.002087920998746995
3,20,20,0.3,a_star,shap,dilate,5,1.0,0.4,,700,0.4733602440028335,150,0.06044108999776654
3,20,20,0.3,a_star,lime,dilate,5,1.0,0.4,,500,0.26197713400324574,250,0.07160159899649443
3,20,20,0.3,a_star,rand,dilate,5,1.0,0.4,,0,0.00015204500232357532,0,9.302899707108736e-05
3,20,20,0.3,a_star,geodesic,dilate,5,1.0,0.4,,0,0.00028432599356165156,0,0.00025911299599101767
3,20,20,0.3,a_star,cose,dilate,,,,0.5,3,0.005419094995886553,5,0.004245893003826495
3,20,20,0.3,a_star,shap,erode,5,1.0,0.8,,700,0.4733602440028335,250,0.18175251800130354
3,20,20,0.3,a_star,lime,erode,5,-0.6666666666666666,0.5,,500,0.26197713400324574,250,0.19182866399933118
3,20,20,0.3,a_star,rand,erode,5,1.0,0.5,,0,0.00015204500232357532,0,0.00012732100003631786
3,20,20,0.3,a_star,geodesic,erode,5,0.3333333333333333,0.8,,0,0.00028432599356165156,0,0.00026917000650428236
3,20,20,0.3,a_star,cose,erode,,,,0.0,3,0.005419094995886553,1,0.000827974006824661
3,20,20,0.3,a_star,shap,distractors,5,1.0,1.0,,700,0.4733602440028335,300,0.17585395999776665
3,20,20,0.3,a_star,lime,distractors,5,0.6,0.6666666666666666,,500,0.26197713400324574,250,0.14202433900209144
3,20,20,0.3,a_star,rand,distractors,5,0.2,0.6666666666666666,,0,0.00015204500232357532,0,0.00013346699415706098
