env_id,H,W,density,planner,method,perturbation,kmax,kendall_tau,jaccard_topk,cose_jaccard,calls_base,time_base,calls_pert,time_pert
1,30,30,0.2,bfs,rand,dilate,5,0.2,0.42857142857142855,,0,0.00022545503452420235,0,9.932927787303925e-05
1,30,30,0.2,bfs,geodesic,dilate,5,-0.6,0.25,,0,0.0006811171770095825,0,0.0006288448348641396
1,30,30,0.2,bfs,cose,dilate,,,,0.0,3,0.048345996998250484,15,0.1317896149121225
1,30,30,0.2,bfs,shap,erode,5,1.0,0.6666666666666666,,1300,13.724404528737068,450,5.434060009196401
1,30,30,0.2,bfs,lime,erode,5,-0.35714285714285715,0.0,,500,5.028054320253432,250,3.039584045764059
1,30,30,0.2,bfs,rand,erode,5,0.14285714285714285,0.42857142857142855,,0,0.00022545503452420235,0,0.00013743573799729347
1,30,30,0.2,bfs,geodesic,erode,5,-0.42857142857142855,0.1111111111111111,,0,0.0006811171770095825,0,0.0006248317658901215
1,30,30,0.2,bfs,cose,erode,,,,0.0,3,0.048345996998250484,1,0.012177231721580029
1,30,30,0.2,bfs,shap,distractors,5,1.0,1.0,,1300,13.724404528737068,650,6.988980058114976
1,30,30,0.2,bfs,lime,distractors,5,-0.030303030303030304,0.1111111111111111,,500,5.028054320253432,250,2.514566224999726
1,30,30,0.2,bfs,rand,distractors,5,0.09090909090909091,0.42857142857142855,,0,0.00022545503452420235,0,0.0001493692398071289
1,30,30,0.2,bfs,geodesic,distractors,5,1.0,1.0,,0,0.0006811171770095825,0,0.0005799620412290096
1,30,30,0.2,bfs,cose,distractors,,,,1.0,3,0.048345996998250484,3,0.04782056622207165
1,30,30,0.2,dfs,shap,jitter,5,0.696969696969697,0.6666666666666666,,1300,7.078626608941704,650,0.595706642139703
1,30,30,0.2,dfs,lime,jitter,5,0.12121212121212122,0.42857142857142855,,500,3.6922131329774857,250,0.32415264938026667
1,30,30,0.2,dfs,rand,jitter,5,-0.3939393939393939,0.1111111111111111,,0,0.000368588138371706,0,0.0001062280498445034
1,30,30,0.2,dfs,geodesic,jitter,5,0.21212121212121213,0.42857142857142855,,0,0.0006342120468616486,0,0.0005448451265692711
1,30,30,0.2,dfs,cose,jitter,,,,0.0,3,0.02072945609688759,1,0.000616998877376318
1,30,30,0.2,dfs,shap,dilate,5,0.6,0.6666666666666666,,1300,7.078626608941704,350,0.6341121401637793
1,30,30,0.2,dfs,lime,dilate,5,-0.2,0.25,,500,3.6922131329774857,250,0.6344033349305391
1,30,30,0.2,dfs,rand,dilate,5,-0.2,0.1111111111111111,,0,0.000368588138371706,0,0.00011772522702813148
1,30,30,0.2,dfs,geodesic,dilate,5,-0.6,0.25,,0,0.0006342120468616486,0,0.000511400867253542
1,30,30,0.2,dfs,cose,dilate,,,,0.0,3,0.02072945609688759,15,0.05620978306978941
1,30,30,0.2,dfs,shap,erode,5,1.0,0.6666666666666666,,1300,7.078626608941704,450,0.23691652715206146
1,30,30,0.2,dfs,lime,erode,5,-0.2857142857142857,0.1111111111111111,,500,3.6922131329774857,250,0.13351709302514791
1,30,30,0.2,dfs,rand,erode,5,-0.5,0.0,,0,0.000368588138371706,0,8.763093501329422e-05
1,30,30,0.2,dfs,geodesic,erode,5,-0.42857142857142855,0.1111111111111111,,0,0.0006342120468616486,0,0.0005177753046154976
1,30,30,0.2,dfs,cose,erode,,,,0.0,3,0.02072945609688759,1,0.0005509941838681698
1,30,30,0.2,dfs,shap,distractors,5,0.696969696969697,0.6666666666666666,,1300,7.078626608941704,750,4.174978501163423
1,30,30,0.2,dfs,lime,distractors,5,-0.2727272727272727,0.1111111111111111,,500,3.6922131329774857,250,1.7389728259295225
1,30,30,0.2,dfs,rand,distractors,5,-0.24242424242424243,0.1111111111111111,,0,0.000368588138371706,0,0.0001105116680264473
1,30,30,0.2,dfs,geodesic,distractors,5,0.9090909090909091,0.6666666666666666,,0,0.0006342120468616486,0,0.0005645155906677246
1,30,30,0.2,dfs,cose,distractors,,,,0.08333333333333333,3,0.02072945609688759,25,0.2932540657930076
1,30,30,0.2,theta_star,shap,jitter,5,0.696969696969697,0.6666666666666666,,1300,15.191657890100032,650,2.277424759231508
1,30,30,0.2,theta_star,lime,jitter,5,-0.30303030303030304,0.25,,500,8.241555572021753,250,1.0652511399239302
